측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,1,O₃,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
1일,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.007,0.006,0.002,0.008,0.004
2일,0.005,0.006,0.005,0.006,0.008,0.009,0.017,0.026,0.021,0.016,0.015,0.01,0.01,0.01,0.009,0.008,0.007,0.009,0.008,0.009,0.011,0.009,0.008,0.008,0.005,0.026,0.01
3일,0.007,0.008,0.01,0.01,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.005,0.006,0.006,0.005,0.004,0.004,0.003,0.01,0.006
4일,0.004,0.009,0.012,0.008,0.012,0.016,0.012,0.012,0.029,0.034,0.025,0.009,0.008,0.007,0.008,0.009,0.008,0.008,0.007,0.008,0.007,0.005,0.004,0.004,0.004,0.034,0.011
5일,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.006,0.004
6일,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,교정중,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.004,0.003
7일,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.002,0.004,0.003
8일,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.004
9일,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.002,0.005,0.003
10일,0.005,0.004,0.004,0.004,0.005,0.005,0.007,0.01,0.01,0.011,0.011,0.01,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.004,0.011,0.008
11일,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.008,0.009,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.012,0.009
12일,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.005,교정중,교정중,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.006,0.007,0.008,0.003,0.008,0.006
13일,0.008,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.009,0.006
14일,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.004,0.008,0.006
15일,0.007,0.006,0.006,0.006,0.007,0.008,0.01,0.011,0.009,0.008,0.012,0.015,0.012,0.009,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.006,0.015,0.008
16일,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.007,0.007,0.007,0.008,0.008,0.007,0.007,0.005,0.008,0.007
17일,0.006,0.006,0.005,0.005,0.005,0.005,0.006,0.007,0.005,0.005,0.005,0.005,0.005,0.007,0.006,0.005,0.004,0.004,0.006,0.007,0.007,0.007,0.007,0.007,0.004,0.007,0.006
18일,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.009,0.012,0.016,0.017,0.018,0.017,0.017,0.015,0.016,0.019,0.02,0.021,0.019,0.018,0.017,0.017,0.018,0.006,0.021,0.014
19일,0.018,0.017,0.017,0.016,0.016,0.017,0.018,0.022,0.03,0.033,0.029,0.025,교정중,교정중,0.014,0.011,0.01,0.009,0.008,0.006,0.004,0.004,0.003,0.004,0.003,0.033,0.015
20일,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.003,0.005,0.004,0.001,0.005,0.003
21일,0.004,0.004,0.004,0.005,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.004,0.006,0.008,0.006,0.004,0.003,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.008,0.003
22일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.003,0.001
25일,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.004,0.005,0.006,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.002
26일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,교정중,교정중,0.004,0.004,0.003,0.003,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.001,0.005,0.002
27일,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.006,0.004
28일,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003
29일,0.003,0.003,0.004,0.005,0.006,0.005,0.004,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.004,0.003,0.003,0.003,0.006,0.004
30일,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.005,0.005,0.007,0.008,0.008,0.008,0.008,0.002,0.008,0.004
31일,0.008,0.008,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.013,0.012,0.011,0.009,0.008,0.009,0.009,0.008,0.007,0.007,0.007,0.013,0.009
최소,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,
최대,0.018,0.017,0.017,0.016,0.016,0.017,0.018,0.026,0.03,0.034,0.029,0.025,0.017,0.017,0.015,0.016,0.019,0.02,0.021,0.019,0.018,0.017,0.017,0.018,,0.034,
평균,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.007,0.006,0.006,0.005,0.006,0.006,0.005,0.006,0.005,0.006,0.005,0.005,0.005,0.005,,,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,6,CO,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
